Progress,ResponseId,Q2,Q3,Q4,Q5,Q6_1,Q6_2,Q7_1,Q8_1,Q9_1,Q10,Q11,Q12,Q14,Q13,Q14,Q15_1,Q15_2,Q16,Q17,Q18,Q19_1,Q19_2,Q19_3,Q19_4,Q20,Q21,Q22_1,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28,Q29,Q30,Q33,Q31,Q32_1,Q34_1,Q34_2,Q34_3,Q34_4,Q34_5,Q34_6,Q34_7,Q34_8,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q35_8,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q36_6,Q36_7,Q36_8,Q36_9,Q36_10,Q36_11,Q36_12,Q36_13,Q36_14,Q37_1,Q37_2,Q37_3,Q37_4,Q38_1,Q38_2,Q38_3,Q38_4,Q39_1,Q40,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q42,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44,Q45,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q47_1,Q47_2,Q47_3,Q47_4,Q47_5,Q47_6,Q47_7,Q47_8,Q47_9,Q47_10,Q47_11,Q47_12,Q47_13,Q47_14,Q47_15,Q47_16,Q48,Q49_1,Q50,Q51_1,Q51_2,Q51_3,Q51_4,Q51_5,Q51_6,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,Q57,Q58_1,Q59,Q60_1,Q61,Q62_1,Q63,Q64_1,Q65,Q66_1,Q67,Q68_1,Q69,Q70_1,Q71,Q72_1,Q73_1,Q74_1,Q74_2,Q74_3,Q75,Q76_1,Q77_1,Q78,Q79,Q80,Q80_1,Q80_2,Q80_3,Q80_4,Q80_5,Q80_6,Q80_7,Q80_8,Q80_9,Q81_1,Q82_1,Q82_2,Q82_3,Q82_4,Q83,Q84_1,Q85_1,Q86_1,Q87_1,Q87_2,Q87_3,Q87_4,Q87_5,Q87_6,Q87_7,Q87_8,Q88,Q89,Q90,Q91,Q92,Q93_1,Q93_2,Q93_3,Q93_4,Q93_5,Q93_6,Q93_7,Q93_8,Q93_9,Q94_1,Q94_2,Q94_3,Q94_4,Q94_5,Q94_6,Q94_7,Q95,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q97_1,Q97_2,Q97_3,Q97_4,Q97_5,Q98,Q99,Q100,Q101_1,Q102_1,Q103_1,Q104_1,Q105_1,Q105_2,Q105_3,Q105_4,Q106,Q107_1,Q108_1,Q108_2,Q108_3,Q108_4,Q109_1,Q109_2,Q109_3,Q109_4,Q109_5,Q109_6,Q109_7,Q109_8,Q109_9,Q109_10,Q109_11,Q109_12,Q109_13,Q109_14,Q110_1,Q111_1,Q111_2,Q111_3,Q111_4,Q111_5,Q112,Q113,Q113_1,Q113_2,Q113_3,Q113_4,Q114_1,Q115,Q115_1,Q115_2,Q115_3,Q115_4,Q115_5,Q116_1,Q117_1,Q117_2,Q117_3,Q117_4,Q118,Q119,Q120,Q121,Q122,Q123,Q124,Q125_1,Q126,Q127_1,Q128,Q129,Q130_1,Q131_1,Q132_1,Q132_2,Q133_1,Q133_2,Q133_3,Q133_4,Q133_5,Q133_6,Q133_7,Q134_1,Q134_2,Q134_3,Q134_4,Q134_5,Q135_1,Q136_1,Q136_2,Q136_3,Q136_4,Q136_5,Q136_6,Q137,Q138_1,Q138_2,Q138_3,Q138_4,Q138_5,Q138_6,Q138_7,Q139,Q139_1,Q139_2,Q139_3,Q140,Q141_1,Q142,Q143,Q144,Q145_1,Q145_2,Q145_3,Q145_4,Q145_5,Q145_6,Q145_7,Q146_1,Q147_1
100,R_26fm665dMxodY0l,1074,2,43,2,Asian ,1,2,0,0,2,,7,6,3,4,5,1,2,2,1,18,2,18,7,4,2,,,4,2,5,5,5,4,3,2,4,1,1,4,2,,3,6,5,11,9,9,10,11,,,,,,,,,5,5,,5,,,5,5,5,5,4,2,4,1,5,5,5,5,5,5,,5,2,2,,,,,,2,,,,,,4,3,5,5,5,,1,5,5,5,2,1,2,,,5,2,,2,2,2,5,2,1,100,0,,,,,,,0,,,,,1,12,1,24,1,13,1,12,1,30,1,28,1,29,1,34,5,100,100,100,2,1,1,2,2,,,,,,,,,,,3,100,0,0,0,,,,,1,1,,1,,,1,,1,4,2,2,4,2,2,2,2,3,2,5,2,,5,2,3,1,3,2,,2,2,5,2,4,5,2,4,2,5,2,2,1,,2,2,2,3,8,,8,4,2,5,2,2,,,,,,,,2,2,2,2,2,4,3,4,2,4,4,4,2,2,3,2,2,4,1,4,0,0,0,1,24,4,0,0,0,1,0,,,,,,1,2,10,2,3,3,2,90,2,10,2,,10,20,4,4,3,2,1,3,1,4,4,4,4,2,2,2,10,Ontario,10,,,,,2,4,4,4,4,4,4,,,,,,2,1,3,2,4,2,2,2,4,4,2,2,10,2
100,R_3E9WAj46J6R7b57,968,1,36,2,Mexican,1,2,0,1,2,,6,6,2,2,5,3,1,2,2,,,,,,2,,1,1,1,1,1,3,1,1,1,1,3,2,4,2,,4,5,7,6,7,11,10,13,,,,,,,,,5,5,,,,5,5,5,5,4,4,3,4,,5,5,5,5,5,5,5,5,360,1,Swim,Early estimulation,,,,,,,,,,1,1,4,4,5,4,,3,4,2,2,3,5,3,3,2,2,2,1,2,3,4,2,2,20,1,Spanish,80,,,,,80,,1,15,1,2,,1,11,1,7,1,7,1,12,1,12,1,14,1,15,200,0,30,200,3,1200,120,2,4,,,,,,,,,,,36,5,95,0,0,1,1,5,5,,,,,,,,,,3,2,3,4,4,5,5,4,4,5,1,2,,4,4,4,4,4,1,,4,4,3,4,5,4,4,4,4,4,3,1,2,,2,5,2,1,0,144,24,4,4,4,4,1,8,5,4,4,4,3,3,2,1,,3,5,5,4,,,,,,15,,1,3,3,3,1,"1,2,3",1,1,1,0,9,,,,,,,60,0,0,60,20,2,1,16,1,2,2,2,10,2,10,2,,9,10,3,2,3,3,3,3,3,4,4,3,3,3,3,3,10,,,,,,,1,5,4,,,2,2,5,,,,,3,0,,3,4,2,2,2,2,5,2,2,11,0
100,R_333HYidSvrchB4Q,165,2,32,2,Vietnamese,1,2,0,0,2,,5,5,,3,1,5,2,4,2,,,,,,2,,1,4,2,4,3,5,2,1,2,4,1,2,2,2,,3,3,,,,,,,,,,,,,,,5,,,,,,4,4,,,,,,,,,,,,,,,120,2,,,,,,1,Swimming,Martial arts,,,,1,2,,,,,,2,3,2,,1,,,3,,2,2,2,4,4,,2,2,50,1,Vietnamese,50,,,,,50,,1,50,1,1,3,2,,2,,2,,2,,2,,2,,2,,,,,,1,60,15,5,5,"5,7,8,9",0,0,0,0,1,0,1,1,1,7,90,10,0,0,,,,,5,1,3,2,6,7,4,,3,4,2,,4,5,3,,5,,,2,2,,3,4,,5,,1,,5,2,5,2,5,5,1,5,1,,4,4,2,,,5,3,0,0,,24,5,5,5,2,1,4,5,5,5,1,1,,,2,1,4,4,3,2,2,,,,,30,1,2,4,2,1,1,4,0,0,0,1,,1,1,0,0,0,0,45,,,45,,2,1,10,1,2,2,3,120,1,10,2,,0,,4,2,1,1,3,5,,3,4,5,5,3,3,3,10,Korea,90,,,,,1,,4,2,,1,2,4,3,0,0,1,1,,,2,4,1,2,4,5,4,1,5,10,0
100,R_557WoJvGOuewW3L,1078,2,40,2,Taiwanese,1,2,0,0,2,,6,5,3,4,3,1,2,5,2,,,,,,2,,1,2,1,2,1,1,1,1,5,2,2,2,1,2,,3,,8,8,9,12,13,14,,,,,,,,,5,5,5,5,5,5,5,4,4,2,1,4,3,1,5,5,5,5,1,1,1,1,405,2,,,,,,1,music ,soccer,swimming,theatre,climbing,1,1,5,1,5,1,1,2,4,1,1,1,1,4,2,2,1,1,1,2,1,5,2,2,5,1,Mandarin,50,Persian,45,,,95,,0,100,0,1,3,1,,1,16,1,16,1,30,1,30,1,31,1,35,150,50,30,100,2,300,30,2,2,"1,8",1,0,0,0,0,0,0,1,0,7,20,20,60,0,,,,,1,4,6,4,1,5,1,,2,2,1,1,4,5,2,5,3,3,4,1,1,1,2,2,2,2,2,1,1,1,1,2,2,5,4,2,2,2,5,1,2,1,1,2,5,5,10,7,,24,5,4,2,2,1,24,5,5,2,2,1,5,5,5,1,1,5,5,5,5,4,5,4,5,3,1,1,5,2,1,1,"1,2",1,1,0,0,27,4,0,0,0,1,0,0,0,0,0,0,2,1,,1,2,2,2,420,5,4,1,2,50,30,2,,5,1,1,5,,,,2,3,4,2,3,20,classical music,50,Taiwan,20,Iran,10,2,1,4,1,1,,5,2,3,0,0,1,1,0,,2,2,5,2,4,5,4,5,5,12.5,3
100,R_2wFCcnokJOu5kjO,1160,2,31,2,Asian,1,2,0,0,2,,6,6,4,3,4,2,2,4,1,40,33,7,4,4,2,,1,3,2,2,5,3,4,3,4,3,2,2,1,1,13,5,9,7,7,8,10,11,12,,,,,,,,,5,,,5,,5,5,5,5,5,5,4,5,1,4,4,4,4,2,3,3,3,60,1,Swimming,,,,,,,,,,,3,3,5,2,5,5,1,3,3,3,2,2,2,3,3,2,4,2,2,2,2,2,3,1,100,0,,,,,,,0,,,,,2,,1,,1,7,1,7,1,18,1,24,1,30,1,36,100,100,100,110,2,60,10,3,2,"1,7",1,0,0,0,0,0,1,0,0,2,25,0,0,0,,,,,7,6,1,2,3,4,5,8,2,4,3,3,3,4,2,2,3,3,2,3,2,,2,2,3,3,3,1,,3,2,2,2,2,2,2,2,2,3,3,2,1,,2,5,2,8,40,,3,4,3,3,2,1,1,2,2,2,1,2,3,3,2,2,4,5,4,2,2,3,2,2,2,180,1,1,3,1,2,3,1,1,0,0,0,24,4,0,0,0,1,0,120,,,120,10,1,1,19,3,3,2,1,30,2,8,1,3,30,12,4,5,4,2,3,4,,4,4,4,3,4,4,2,25,Asian,75,,,,,2,2,2,3,3,3,3,2,"1,2,3",1,1,1,1,0,,2,4,2,2,1,1,4,3,3,10,1
100,R_3p3XGjqE0hrMnho,756,1,36,2,Hispanic,1,2,0,1,2,,5,5,5,3,5,3,2,5,1,21,1,2,6,5,2,,1,3,3,3,2,2,1,1,1,1,1,1,2,1,37,2,3,5,8,9,10,10,11,,,,,,,,,5,3,3,3,3,3,3,3,4,2,2,3,3,2,5,5,5,5,4,4,4,4,60,1,Swimming,,,,,,,,,,,1,1,4,2,4,3,2,2,2,2,2,2,4,3,3,3,2,3,2,2,3,2,2,2,20,1,Spanish ,80,,,,,95,,24,95,24,2,,1,12,1,8,1,9,1,14,1,18,1,20,1,24,100,5,10,100,2,500,,4,4,"1,5,6,8,9",1,0,0,0,1,1,0,1,1,7,5,95,0,0,,,,,4,1,2,3,5,7,6,8,2,4,2,2,4,2,2,5,1,4,4,1,1,,2,4,4,4,3,2,,3,2,3,1,5,3,1,4,1,3,3,2,3,,3,4,4,10,21,0,6,5,4,4,4,1,6,5,4,3,4,2,3,3,2,1,2,5,5,4,4,2,2,3,3,20,1,2,2,3,2,1,2,0,1,0,0,12,"1,3",1,0,1,0,0,30,0,0,25,5,1,1,17,1,2,2,2,330,3,3,1,1,1,18,4,3,3,3,4,3,4,3,3,3,3,3,3,3,25,Colombia,75,,,,,2,,,,,,4,3,3,0,0,1,3,1,2,2,4,1,1,4,4,4,1,1,12,0
100,R_3e8BPszHWgEpOT2,893,2,40,2,Brazilian,1,2,1,0,2,,6,6,3,3,5,3,1,5,2,,,,,,2,,1,1,1,3,1,2,3,1,1,5,2,2,1,2,,3,,8,20,21,22,22,23,,,,,,,23,24,5,5,5,5,5,5,5,5,5,3,2,,2,,5,5,5,5,3,3,2,2,420,2,,,,,,1,Swimming,Dance,Sports club (various ball sports),Music classes,,1,1,5,1,5,5,2,2,3,2,2,2,4,4,4,4,4,1,1,3,2,5,2,2,80,1,French,15,Portuguese,5,,,20,50,0,20,0,1,6,1,,1,10,1,12,1,23,1,,1,,1,21,500,95,400,500,3,400,20,2,5,,,,,,,,,,,50,90,9,1,0,1,1,2,1,5,2,6,4,1,5,3,,1,1,5,2,4,5,2,2,3,4,5,1,5,,5,4,1,4,2,1,,2,2,4,2,4,4,1,5,2,5,2,2,2,,4,4,4,4,0,42,9,5,2,5,4,1,5,5,5,5,5,1,1,5,2,,3,5,5,5,,2,,4,5,1,1,1,4,1,2,1,"1,2,3,4",1,1,1,1,,4,0,0,0,1,0,40,20,,10,10,2,1,15,2,3,2,1,40,2,3,1,1,20,23,3,2,1,1,3,5,3,3,4,4,4,3,3,3,30,Brasil 40,40,Francophone,30,,,2,2,4,,,2,3,3,"1,2,3",1,1,1,2,0,,2,5,4,2,2,5,3,1,1,12,1
100,R_2zdLXc2LBUV9uFb,387,1,36,2,Mexican,1,2,0,0,2,,6,6,7,2,5,5,1,4,2,,,,,,2,,1,2,3,3,3,2,2,3,1,2,2,2,4,2,,5,5.5,,,,,,,,,,,,,,,5,1,,,,,4,4,,,,,,,,,,,,,,,30,2,,,,,,1,Swimming,Karate,Chess,,,1,3,,,,,,3,5,2,2,,,,5,,2,,,3,,,,2,0,2,,,,,,,100,,,,4,1,5,2,,2,,2,,2,,2,,2,,2,,,,,,,600,200,3,3,"3,4,5",0,0,1,1,1,0,0,0,0,10,10,90,0,0,,,,,,,,,,,,,4,,3,4,4,3,3,,3,,3,1,3,4,5,5,,5,3,1,3,5,4,3,4,5,5,3,5,4,,,,,,,3,2,1,21,,24,4,4,4,5,1,10,3,3,4,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,2,3,,1,,,,,4,10,2,,9,,,,,,,,,,,,,,,,30,México,40,,,,,1,,,,,,,5,3,0,0,1,4,0,,,,1,2,5,5,5,3,2,12,
100,R_2eQhWKT8ACJbsc2,508,2,34,2,Hispanic,1,2,0,0,2,,6,6,5,3,5,3,2,4,2,,,,,,2,,1,3,2,3,3,2,3,2,1,1,1,2,3,2,,8,9,7,11,11,13,13,15,,,,,,,,,5,5,5,4,5,4,5,5,3,3,1,,1,,4,4,4,4,4,4,4,4,400,2,,,,,,1,Dance,Karate,Swimming ,Whatever interest her,,1,1,5,,2,4,,2,3,2,2,2,3,2,2,2,1,2,2,3,4,4,2,2,40,1,Spanish,45,Italian,12,French,3,60,,0,60,0,1,6,1,6,1,7,1,8,1,12,1,16,2,,2,,300,50,60,120,3,400,100,3,3,"5,7,9",0,0,0,0,1,0,1,0,1,21,60,35,0,5,,,,,1,6,7,4,3,5,2,,1,3,1,2,4,3,3,3,2,3,3,1,1,,3,3,2,4,3,1,,2,2,4,2,5,3,2,4,1,2,2,3,1,,1,5,4,2,2,,8,5,4,4,4,1,5,5,4,4,4,2,3,4,3,2,2,4,3,3,2,2,3,2,3,5,4,1,2,2,2,1,2,0,1,0,0,9,5,0,0,0,0,1,5,0,0,0,5,2,1,17,1,2,2,2,240,5,6,2,,30,6,1,2,1,2,5,,4,3,4,3,4,3,3,3,30,Colombia,35,Other European ,35,,,1,2,3,2,,1,3,3,3,0,0,1,1,0,,2,5,2,2,4,5,4,2,2,11,1
100,R_0pI7oSQ0ls83R61,479,2,36,2,hispanic,1,2,0,0,2,,6,3,2,1,3,5,2,2,1,16,4,12,3,5,2,,1,2,1,2,4,5,1,2,2,5,2,2,4,2,,5,5,6,6,6,8,8,8,,,,,,,,,5,5,5,5,5,5,5,5,3,2,1,2,3,1,5,5,5,5,2,2,2,2,120,1,swimming,singing,,,,,,,,,,1,5,1,1,1,1,1,4,4,2,2,2,1,2,2,2,2,2,1,2,3,4,2,2,65,1,Spanish,35,,,,,95,,0,100,0,1,6,1,11,1,8,1,8,1,14,2,,2,,2,,20,30,5,20,1,300,30,4,3,"5,7,8,9",0,0,0,0,1,0,1,1,1,4,80,20,0,0,,,,,7,1,6,2,5,3,4,8,2,4,4,2,4,5,5,1,4,3,4,2,2,,5,5,1,5,1,1,1,3,2,5,2,5,5,1,5,4,2,5,2,1,1,2,5,1,4,8,,12,5,4,5,5,1,2,5,2,3,2,1,4,4,4,1,1,5,2,4,2,,3,2,5,30,1,2,2,1,2,1,"3,4",0,0,1,1,11,"4,5",0,0,0,1,1,120,0,0,100,20,1,1,9,3,2,2,1,60,4,4,1,3,30,11,4,5,2,1,4,4,5,3,5,5,5,3,2,3,30,Mexico,60,japan,20,,,1,2,2,2,1,1,4,2,"1,2,3",1,1,1,1,0,,2,3,2,2,2,2,2,2,3,11,2
100,R_3L0CpNsB46edjsg,225,1,32,2,Brazilian,1,2,0,0,2,,5,5,2,2,4,4,2,5,2,,,,,,2,,1,1,2,1,1,2,2,2,1,4,2,2,2,2,,3,4,6,6,7,,,,,,,,,,,,5,4,1,,,,5,5,,,,,,,4,5,,,2,5,,,250,2,,,,,,1,Swimming,Soccer,,,,3,3,,,,,,2,4,2,1,1,1,2,3,,2,1,1,2,2,2,1,2,0,1,Portuguese,100,,,,,100,,8,100,0,1,6,2,,2,,2,,2,,2,,2,,2,,,,,,3,120,30,3,3,"7,9",0,0,0,0,0,0,1,0,1,5,50,50,0,0,,,,,1,2,4,3,5,7,6,8,3,,2,,4,4,4,1,2,1,1,2,2,1,3,3,1,4,,1,1,4,2,3,2,4,3,1,3,2,2,2,2,2,,,5,,3,1,,14,4,3,4,2,1,3,5,2,4,2,1,2,2,2,1,1,5,5,5,1,,,,1,2,2,2,2,2,1,1,4,0,0,0,1,,3,0,0,1,0,0,10,0,0,2,8,1,3,17,1,3,3,3,120,5,8,1,2,60,,4,3,3,1,5,5,3,3,4,4,4,2,3,3,30,Brazil,70,,,,,1,2,2,2,1,1,3,3,,,,,2,0,,2,5,2,2,5,4,4,2,1,10,2
100,R_2rvFHqCBKxPCpHl,1009,2,38,2,,,0,2,1,2,,1,1,2,2,4,4,2,3,2,,,,,,2,,1,3,1,3,2,2,3,2,1,1,1,1,2,2,,6,7,8,9,8,1,9,11,6,7,8,9,9,10,10,2,2,2,4,4,5,4,4,5,5,5,5,3,4,4,2,1,5,2,2,3,4,4,45,2,,,,,,3,,,,,,1,3,4,4,5,5,4,2,2,2,4,2,4,2,2,2,2,2,3,3,2,4,2,2,75,2,Tamil,25,,,,,25,75,9,25,12,2,,1,16,1,12,1,16,1,20,1,20,1,18,1,24,4,75,20,40,5,50,45,4,2,"1,2,3,5,6,7,9",1,1,1,0,1,1,1,0,1,4,75,10,0,0,1,1,1,2,2,2,2,2,1,1,2,,2,5,2,2,2,5,5,4,5,5,5,5,5,,5,4,5,5,5,4,,2,1,4,1,5,5,2,4,3,4,4,2,3,,4,3,4,1,2,3,3,5,5,4,5,2,,,,,,2,4,4,4,2,2,3,1,1,2,2,2,2,4,5,2,4,4,3,4,1,"1,2,3",1,1,1,0,24,4,0,0,0,1,0,45,20,20,30,0,2,1,16,1,1,1,2,45,4,1,1,1,30,24,2,3,4,3,3,4,3,3,3,3,3,3,3,3,35,Ontario,80,,,,,1,4,4,3,3,4,3,3,"1,2,3",1,1,1,2,0,,2,4,2,1,2,4,4,1,1,8,1
100,R_3RswhSbhOVO9s86,1075,1,27,2,Jamaican ,1,2,0,1,2,,3,2,2,4,4,5,2,5,1,5,7,19,,3,2,,1,4,3,3,5,2,4,4,2,4,1,2,4,2,,5,5,6,7,7,8,9,11,,,,,,,,,5,3,3,3,3,3,4,4,5,3,1,1,5,1,5,5,5,5,4,,5,5,240,2,,,,,,2,,,,,,1,2,5,1,5,4,1,2,2,2,1,2,3,2,2,2,2,,3,4,2,1,2,1,100,0,,,,,,,0,,,,,1,3,1,10,1,6,1,6,1,23,1,23,1,25,1,30,100,90,100,100,1,720,120,2,4,"3,5",0,0,1,0,1,0,0,0,0,3,100,0,0,0,2,,,,,,,,,,,,,4,2,3,3,2,2,5,3,2,4,1,2,2,4,2,2,3,2,1,2,1,2,5,2,5,2,2,5,2,2,2,1,2,,4,4,4,5,4,40,24,5,3,3,4,1,5,3,1,2,2,1,2,4,1,1,2,5,5,1,2,3,3,2,2,180,1,1,4,1,4,1,3,0,0,1,0,12,4,0,0,0,1,0,,,,,,2,2,11,2,1,3,1,60,1,,1,1,,12,3,3,5,1,4,3,,,4,3,2,2,2,,40,Jamaican gospel,60,,,,,2,5,5,4,5,5,3,3,2,0,1,0,1,0,,2,3,2,2,4,4,5,4,1,10,0
100,R_3j2KVFAs3larA95,212,2,33,2,Guyanese,1,4,0,0,2,,7,5,5,2,2,4,2,4,2,,,,,,2,,1,4,3,3,5,5,5,3,1,1,1,2,4,2,,4,5,0,0,0,0,0,0,,,,,,,,,5,,,,,,3,3,,,,,,,5,,,,4,,,,60,2,,,,,,1,Swimming,Dance,Singing,,,,1,,,,,,,5,4,2,3,,,2,,,4,2,2,4,,4,1,100,0,,,,,,,0,,,,,1,6,1,6,2,,2,,,,,,,,,,12,,,,1,480,60,4,3,"1,2,3,5",1,1,1,0,1,0,0,0,0,7,100,0,0,0,,,,,1,6,7,4,2,5,3,8,,,2,,4,5,5,,3,,,,,,4,4,,4,,,,,2,4,1,5,2,1,4,1,,,,,,,5,,0,0,,10,5,3,5,2,1,5,5,3,4,3,,,,,,,5,,,,,,,,30,,,,,,2,4,0,0,0,1,0,,,,,,,15,0,0,0,15,2,3,13,3,2,2,2,60,2,6,1,,60,0,5,5,5,1,,5,,5,5,5,3,3,3,3,40,India,60,,,,,2,,4,,,,,,,,,,1,0,,2,4,,3,2,4,4,4,5,10,2
100,R_VUAHXfCL8anf2tH,444,2,31,2,Chinese,1,2,0,0,2,,6,6,,3,5,5,2,4,2,,,,,,2,,1,2,1,2,2,2,1,3,2,3,1,2,2,2,,3,6,3,7,7,10,12,13,,,,,,,,,5,5,5,5,5,4,5,4,2,1,1,1,1,1,5,5,5,5,5,5,5,5,400,2,,,,,,1,Dance,Swim,Piano,,,1,5,1,1,1,1,1,1,4,2,2,2,3,1,3,2,1,2,2,4,4,1,1,2,45,1,Chinese,45,French ,10,,,70,,1,70,1,1,6,1,10,1,7,1,9,1,12,1,13,2,,2,,100,0,13,15,2,400,60,3,3,"2,3,7,9",0,1,1,0,0,0,1,0,1,14,45,45,0,0,,,,,8,8,7,7,8,3,1,,1,4,2,1,4,5,3,5,4,2,4,1,3,,4,4,1,5,1,1,1,2,1,5,2,4,2,1,4,1,2,4,2,3,1,1,5,1,3,0,,10,5,5,5,5,1,3,3,3,5,3,1,3,4,2,1,,5,5,5,,4,4,,5,5,,,,,,1,3,0,0,1,0,14,4,0,0,0,1,0,0,,,,,2,3,,3,,,,,,,1,1,,,3,1,5,1,,4,5,,,,,,,,40,Taiwan,40,French,20,,,2,1,4,2,2,,5,2,3,0,0,1,2,0,,2,4,2,2,5,2,5,2,2,10,1
100,R_1H8lNT71EgG0c2R,463,1,34,2,Caribbean,1,2,0,0,2,,5,2,4,3,4,4,2,3,1,24,2,13,5,4,2,,1,5,3,2,2,1,5,3,2,3,1,2,2,2,,4,5,8,7,7,8,9,10,,,,,,,,,5,5,5,5,5,5,5,5,5,2,1,,4,,5,5,5,5,5,5,5,5,120,1,Baby massage at 3 months,Baby sign language at 8 and 9 months,,,,,,,,,,1,1,,,,,,3,4,,1,2,1,1,4,,3,1,4,3,4,4,4,2,20,1,French,50,Creole,30,,,100,,13,100,0,1,2,1,10,1,9,2,,2,,2,,2,,2,,50,0,0,3,2,300,20,4,3,"1,2,5,7,9",1,1,0,0,1,0,1,0,1,7,10,80,10,0,,,,,1,2,4,3,7,6,5,8,2,4,2,2,4,5,4,4,4,3,3,1,1,3,5,5,2,5,1,1,3,4,3,5,2,5,5,2,5,3,4,3,1,2,,,5,3,3,1,,9,5,5,5,5,1,5,5,3,3,1,3,3,4,4,3,,5,5,4,,,2,,2,60,2,3,4,,,1,4,0,0,0,1,11,"1,3",1,0,1,0,0,10,,,5,5,2,1,18,2,2,2,2,90,4,11,1,2,60,12,2,5,5,1,5,5,4,4,5,5,3,3,3,3,40,Caribbean,25,France,25,South America,10,2,4,5,,,1,3,3,"1,2,3",1,1,1,1,0,,2,4,2,2,4,5,4,5,5,12,1
100,R_1guvJxXJsHzJo7k,202,2,34,2,White,0,2,0,0,2,,7,7,4,2,5,2,1,3,1,30,1,6,2,5,2,,1,3,1,2,2,3,3,2,1,4,2,2,1,2,,5,4,0,0,0,0,0,0,,,,,,,,,3,,,,,,1,1,,,,,,,,,,,,,,,200,2,,,,,,3,,,,,,3,3,,,,,,2,4,,,,,,5,,2,2,3,2,4,,2,2,50,1,German,50,,,,,50,,0,100,0,2,,2,,2,,2,,2,,2,,2,,2,,,,,,3,60,10,1,5,"2,4,7",0,1,0,1,0,0,1,0,0,4,50,50,0,0,,,,,5,5,5,5,8,8,5,,3,,2,,4,5,3,,3,,,1,2,,5,3,,4,,,,2,2,4,1,4,4,2,4,2,,3,3,4,,1,5,,4,10,,4,5,5,5,5,1,4,5,5,5,2,2,,5,5,1,,5,,4,,,,,,10,4,4,3,2,,1,4,0,0,0,1,0,,,,,,,10,,,,10,2,3,10,1,2,2,2,60,4,3,1,1,100,6,5,2,5,1,1,5,3,3,3,2,3,3,3,3,50,Europe,50,,,,,2,,4,3,,1,3,3,3,0,0,1,1,0,,2,4,2,2,4,4,3,4,4,12,3
100,R_12L02YV2Ji9vq25,1294,1,45,2,White,0,2,1,0,2,,6,5,,2,4,2,1,5,1,35,18,28,8,4,2,,1,2,2,2,,2,3,1,2,3,2,2,3,2,,2,4,8,6,9,9,10,13,2,4,4,5,5,6,7,9,5,5,5,5,5,5,5,5,3,2,3,1,3,2,4,4,4,4,2,3,2,3,240,2,,,,,,1,skating,swimming,dance or gymnastics,,,1,3,5,5,5,3,5,3,4,5,3,3,4,4,4,2,3,2,1,4,4,4,3,2,75,1,French,10,Danish,10,"Farsi and mandarin at daycare (staff and students speak these languages, he incidentally hears them)",5,20,10,0,10,0,1,4,1,12,1,14,1,13,1,21,1,20,1,21,1,30,1000,95,1000,1000,2,60,10,1,4,4,0,0,0,1,0,0,0,0,0,10,90,10,0,0,1,2,1,0.5,3,2,6,7,1,5,4,,3,5,1,1,4,5,3,3,2,3,4,2,1,,3,2,1,4,2,2,,2,2,3,2,4,4,3,4,1,3,3,2,2,,2,4,3,3,30,50,5,4,2,4,2,1,5,4,2,3,1,2,4,4,5,1,2,4,3,3,3,3,4,3,5,60,2,2,3,3,3,1,2,0,1,0,0,18,3,0,0,1,0,0,,,,,,2,2,18,1,2,2,2,30,3,10,2,,180,30,1,5,4,1,4,3,3,4,5,5,4,2,2,4,50,"Not sure, instrumental from a variety of areas",40,Asia and middle east,5,"Africa, mostly a couple kids shows he loves",5,2,3,2,3,1,2,3,3,"1,2,3",1,1,1,1,0,,2,2,2,2,4,4,3,1,2,9,0
